market,calendar_date,session_state,reconstruction_state,reconstruction_state_if_vendor_accepted,price_rows,coverage_calendar,coverage_security_lifecycle,coverage_daily_price,coverage_market_status,coverage_corporate_action,coverage_fundamental,reason_codes
TWSE,2025-01-12,official-closed,not-session,not-session,0,covered,licensed-vendor,official-no-data,covered,covered,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-01-12,official-closed,not-session,not-session,0,covered,licensed-vendor,official-no-data,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-01-13,official-open,partial,supported,1276,covered,licensed-vendor,covered,covered,covered,licensed-vendor,blocked-only-by-vendor-dependency;disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-01-13,official-open,partial,partial,944,covered,licensed-vendor,covered,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-01-14,official-open,partial,supported,1277,covered,licensed-vendor,covered,covered,covered,licensed-vendor,blocked-only-by-vendor-dependency;disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-01-14,official-open,partial,partial,944,covered,licensed-vendor,covered,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-01-15,official-open,partial,supported,1279,covered,licensed-vendor,covered,covered,covered,licensed-vendor,blocked-only-by-vendor-dependency;disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-01-15,official-open,partial,partial,946,covered,licensed-vendor,covered,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-01-16,official-open,partial,supported,1279,covered,licensed-vendor,covered,covered,covered,licensed-vendor,blocked-only-by-vendor-dependency;disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-01-16,official-open,partial,partial,946,covered,licensed-vendor,covered,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-01-17,official-open,partial,supported,1279,covered,licensed-vendor,covered,covered,covered,licensed-vendor,blocked-only-by-vendor-dependency;disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-01-17,official-open,partial,partial,947,covered,licensed-vendor,covered,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-01-18,official-closed,not-session,not-session,0,covered,licensed-vendor,official-no-data,covered,covered,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-01-18,official-closed,not-session,not-session,0,covered,licensed-vendor,official-no-data,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-01-19,official-closed,not-session,not-session,0,covered,licensed-vendor,official-no-data,covered,covered,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-01-19,official-closed,not-session,not-session,0,covered,licensed-vendor,official-no-data,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-01-20,official-open,partial,supported,1279,covered,licensed-vendor,covered,covered,covered,licensed-vendor,blocked-only-by-vendor-dependency;disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-01-20,official-open,partial,partial,948,covered,licensed-vendor,covered,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-01-21,official-open,partial,supported,1279,covered,licensed-vendor,covered,covered,covered,licensed-vendor,blocked-only-by-vendor-dependency;disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-01-21,official-open,partial,partial,948,covered,licensed-vendor,covered,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-01-22,official-open,partial,supported,1279,covered,licensed-vendor,covered,covered,covered,licensed-vendor,blocked-only-by-vendor-dependency;disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-01-22,official-open,partial,partial,949,covered,licensed-vendor,covered,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-01-23,official-closed,not-session,not-session,0,covered,licensed-vendor,official-no-data,covered,covered,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-01-23,official-closed,not-session,not-session,0,covered,licensed-vendor,official-no-data,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-01-24,official-closed,not-session,not-session,0,covered,licensed-vendor,official-no-data,covered,covered,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-01-24,official-closed,not-session,not-session,0,covered,licensed-vendor,official-no-data,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-01-25,official-closed,not-session,not-session,0,covered,licensed-vendor,official-no-data,covered,covered,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-01-25,official-closed,not-session,not-session,0,covered,licensed-vendor,official-no-data,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-01-26,official-closed,not-session,not-session,0,covered,licensed-vendor,official-no-data,covered,covered,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-01-26,official-closed,not-session,not-session,0,covered,licensed-vendor,official-no-data,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-01-27,official-closed,not-session,not-session,0,covered,licensed-vendor,official-no-data,covered,covered,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-01-27,official-closed,not-session,not-session,0,covered,licensed-vendor,official-no-data,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-01-28,official-closed,not-session,not-session,0,covered,licensed-vendor,official-no-data,covered,covered,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-01-28,official-closed,not-session,not-session,0,covered,licensed-vendor,official-no-data,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
TWSE,2025-01-29,official-closed,not-session,not-session,0,covered,licensed-vendor,official-no-data,covered,covered,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence
TPEX,2025-01-29,official-closed,not-session,not-session,0,covered,licensed-vendor,official-no-data,covered,unknown,licensed-vendor,disposal-and-attention-captured;lifecycle-and-fundamental-from-tej-licensed-vendor;suspension-inferred-from-price-absence;tpex-no-range-based-exright-endpoint
